40;;;90;;;140;;;190;;;240;;;290;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
t (s);V (mV);;t (s);V (mV);;t (s);V (mV);;t (s);V (mV);;t (s);V (mV);;t (s);V (mV)
46.86;5.0787;;47;6.5856;;47.001;2.8459;;46.83;7.7022;;46.946;8.6098;;47.183;10.5048
47.86;5.0503;;48;6.5604;;48.001;2.832;;47.829;7.699;;47.946;8.6015;;48.182;10.4961
48.86;5.0269;;49;6.5467;;49;2.8202;;48.83;7.6892;;48.946;8.5926;;49.183;10.4876
49.861;4.9962;;50;6.5322;;50;2.8075;;49.83;7.6795;;49.947;8.5838;;50.183;10.4788
50.86;4.971;;51.005;6.5117;;51;2.7954;;50.829;7.6694;;50.947;8.5749;;51.182;10.47
51.861;4.9402;;52.001;6.4893;;52.001;2.7827;;51.83;7.6598;;51.946;8.5657;;52.182;10.4612
52.86;4.9109;;53;6.4703;;53.001;2.7689;;52.829;7.6501;;52.947;8.556;;53.183;10.4517
53.86;4.8892;;54;6.4504;;54.001;2.7565;;53.83;7.6395;;53.947;8.5483;;54.183;10.4438
54.861;4.8496;;55;6.433;;55;2.7457;;54.83;7.6305;;54.947;8.5393;;55.182;10.4351
55.86;4.8204;;56;6.4145;;56;2.7324;;55.83;7.6206;;55.946;8.5296;;56.182;10.4276
56.86;4.797;;57.005;6.3837;;57;2.72;;56.83;7.611;;56.947;8.5214;;57.183;10.4185
57.86;4.7609;;58;6.3752;;58;2.7075;;57.829;7.6017;;57.951;8.5146;;58.183;10.4103
58.861;4.7283;;59;6.3517;;59;2.6956;;58.83;7.5924;;58.947;8.504;;59.182;10.4007
59.86;4.6935;;60.001;6.3369;;60;2.6825;;59.829;7.5834;;59.946;8.4958;;60.182;10.3931
60.86;4.6652;;61;6.3315;;61;2.6695;;60.829;7.5743;;60.947;8.4864;;61.182;10.3834
61.86;4.642;;62.001;6.3131;;62;2.6569;;61.829;7.5649;;61.946;8.4793;;62.183;10.375
62.861;4.6014;;63.001;6.2954;;63.001;2.6453;;62.829;7.5565;;62.947;8.47;;63.183;10.3669
63.86;4.5812;;64.001;6.2829;;64.001;2.6333;;63.83;7.5466;;63.946;8.4606;;64.182;10.3583
64.861;4.5471;;65;6.2608;;65;2.6211;;64.829;7.538;;64.947;8.4526;;65.183;10.3497
65.86;4.5218;;66;6.2429;;66;2.6088;;65.829;7.5293;;65.946;8.4447;;66.183;10.3414
66.861;4.4889;;67.001;6.2369;;67.001;2.5967;;66.83;7.5202;;66.947;8.435;;67.182;10.3328
