t (s),V (mV)
0,9.0605
0.964,9.057
1.946,9.0511
2.946,9.0443
3.947,9.0357
4.946,9.0283
5.946,9.0185
6.947,9.0092
7.946,9
8.947,8.9902
9.947,8.9798
10.946,8.9687
11.946,8.96
12.947,8.9488
13.947,8.9381
14.946,8.9293
15.947,8.9194
16.947,8.9093
17.946,8.9003
18.947,8.8896
19.947,8.8791
20.947,8.8697
21.946,8.8588
22.947,8.8483
23.946,8.8371
24.947,8.8267
25.947,8.8166
26.946,8.8066
27.951,8.7962
28.947,8.7853
29.946,8.7743
30.946,8.765
31.946,8.7543
32.947,8.7444
33.947,8.734
34.946,8.724
35.946,8.7143
36.946,8.7056
37.946,8.6947
38.947,8.6848
39.947,8.6752
40.946,8.6654
41.947,8.6556
42.947,8.6463
43.947,8.6348
44.947,8.6267
45.947,8.6181
46.946,8.6098
47.946,8.6015
48.946,8.5926
49.947,8.5838
50.947,8.5749
51.946,8.5657
52.947,8.556
53.947,8.5483
54.947,8.5393
55.946,8.5296
56.947,8.5214
57.951,8.5146
58.947,8.504
59.946,8.4958
60.947,8.4864
61.946,8.4793
62.947,8.47
63.946,8.4606
64.947,8.4526
65.946,8.4447
66.947,8.435
67.946,8.4275
68.947,8.4192
69.946,8.4112
70.947,8.4027
71.947,8.3948
72.947,8.3866
73.946,8.3784
74.947,8.3703
75.952,8.3609
76.947,8.3546
77.947,8.3466
78.946,8.3385
79.946,8.3309
80.947,8.3223
81.946,8.3154
82.947,8.3076
83.947,8.2995
84.946,8.2919
85.946,8.2846
86.946,8.2773
87.946,8.2692
88.947,8.2619
89.947,8.2538
90.947,8.2468
91.946,8.2386
92.946,8.2318
93.946,8.2239
94.947,8.2173
95.946,8.2106
96.946,8.2031
97.946,8.1963
98.946,8.1881
99.947,8.1815
100.947,8.1746
101.946,8.1676
102.946,8.1601
103.947,8.1532
104.947,8.1462
105.947,8.1395
106.947,8.1322
107.947,8.1247
108.947,8.1195
109.946,8.1135
110.946,8.1061
111.947,8.0989
112.946,8.0914
113.946,8.0844
114.946,8.0772
115.947,8.071
116.946,8.0642
117.947,8.0574
118.947,8.0503
119.946,8.043
120.947,8.0363
121.947,8.0289
122.946,8.0229
123.946,8.0157
124.947,8.008
125.946,8.0016
126.947,7.9952
127.946,7.9873
128.947,7.9805
129.952,7.9747
130.947,7.9668
131.946,7.96
132.947,7.9537
133.947,7.9469
134.946,7.9406
135.951,7.9341
136.947,7.9262
137.947,7.9194
138.947,7.9119
139.947,7.9054
140.947,7.8996
141.946,7.8916
142.946,7.8849
143.946,7.8772
144.946,7.8709
145.946,7.8641
146.947,7.8562
147.947,7.85
148.946,7.8429
149.946,7.8356
150.946,7.8285
151.947,7.8212
152.946,7.8154
153.946,7.8084
154.947,7.8004
155.946,7.794
156.946,7.7869
157.947,7.7809
158.947,7.7744
159.946,7.7664
160.946,7.7588
161.947,7.7521
162.947,7.7455
163.947,7.7379
164.947,7.7299
165.947,7.7241
166.947,7.7173
167.946,7.7098
168.947,7.7026
169.947,7.6955
170.946,7.688
171.947,7.6808
172.946,7.6744
173.947,7.667
174.946,7.6583
175.947,7.6528
176.946,7.6446
177.947,7.638
178.946,7.6298
179.947,7.6232
180.947,7.6163
181.947,7.6083
182.947,7.6019
183.946,7.5949
184.946,7.5876
185.947,7.5795
186.947,7.5726
187.947,7.5654
188.946,7.5582
189.946,7.5505
190.947,7.5438
191.947,7.5366
192.946,7.5292
193.946,7.5214
194.947,7.5159
195.946,7.5079
196.947,7.5011
197.947,7.4947
198.946,7.4877
199.946,7.4807
200.946,7.4735
201.951,7.4669
202.947,7.4597
203.946,7.4537
204.947,7.4469
205.947,7.4391
206.946,7.4316
207.946,7.4235
208.947,7.4175
209.947,7.4112
210.946,7.4034
211.946,7.3972
212.947,7.3902
213.948,7.3825
214.947,7.3752
215.946,7.3682
216.946,7.3616
217.947,7.3542
218.946,7.3459
219.947,7.3396
220.947,7.3326
221.947,7.3258
222.946,7.3183
223.947,7.3115
224.947,7.3041
225.947,7.2973
226.947,7.2907
227.946,7.2835
228.947,7.2757
229.947,7.269
230.947,7.2616
231.947,7.2556
232.947,7.2481
233.946,7.2412
234.947,7.2348
235.947,7.2275
236.946,7.22
237.947,7.2132
238.947,7.206
239.947,7.1993
240.947,7.1923
241.947,7.1859
242.947,7.1778
243.951,7.1705
244.946,7.1639
245.947,7.1566
