t (s),V (mV)
246.946,7.1498
247.946,7.143
248.946,7.1371
249.947,7.1302
250.946,7.1225
251.947,7.1166
252.947,7.1085
253.946,7.1019
254.947,7.0949
255.947,7.0881
256.946,7.0815
257.947,7.0741
258.947,7.0672
259.947,7.0597
260.946,7.0532
261.946,7.0462
262.947,7.0404
263.946,7.0336
264.947,7.0277
265.947,7.0221
266.947,7.0155
267.947,7.0088
268.946,7.0026
269.947,6.9959
270.946,6.9899
271.946,6.983
272.947,6.9776
273.947,6.9702
274.946,6.9647
275.947,6.9581
276.946,6.9522
277.946,6.9454
278.947,6.9398
279.946,6.9325
280.947,6.9267
281.946,6.9203
282.946,6.914
283.947,6.9079
284.946,6.902
285.947,6.894
286.946,6.8868
287.947,6.8816
288.947,6.875
289.947,6.8683
290.947,6.8625
291.947,6.856
292.947,6.8501
293.947,6.8436
294.947,6.8369
295.946,6.831
296.947,6.8288
297.951,6.8221
298.947,6.8169
299.947,6.8104
300.947,6.8035
301.947,6.7969
302.947,6.7917
303.946,6.7861
304.946,6.7794
305.947,6.7726
306.946,6.7665
307.947,6.7599
308.947,6.7539
309.946,6.7485
310.946,6.7419
311.947,6.736
312.948,6.7293
313.946,6.723
314.947,6.7172
315.952,6.7104
316.947,6.7049
317.946,6.6982
318.947,6.6914
319.947,6.6858
320.946,6.6798
321.947,6.6733
322.947,6.6671
323.946,6.6614
324.947,6.6557
325.946,6.6497
326.947,6.6436
327.951,6.6387
328.946,6.6311
329.946,6.6256
330.947,6.6194
331.946,6.6136
332.947,6.6077
333.946,6.6011
334.947,6.5951
335.946,6.5882
336.946,6.5833
337.947,6.5764
338.947,6.5708
339.947,6.5648
340.947,6.5591
341.947,6.5529
342.947,6.5476
343.946,6.5411
344.946,6.5351
345.946,6.5287
346.946,6.5235
347.946,6.5164
348.946,6.5105
349.947,6.5039
350.947,6.4979
351.946,6.491
352.947,6.4847
353.946,6.4797
354.946,6.4736
355.946,6.4679
356.946,6.4606
357.947,6.4551
358.946,6.4494
359.946,6.4436
360.947,6.4367
361.946,6.432
362.946,6.4258
363.946,6.4194
364.947,6.4138
365.946,6.4083
366.946,6.4013
367.946,6.3962
368.947,6.3895
369.946,6.3836
370.947,6.3779
371.946,6.3718
372.946,6.3661
373.947,6.3593
374.946,6.3555
375.951,6.348
376.946,6.3426
377.946,6.3373
378.946,6.3304
379.946,6.3242
380.947,6.3188
381.947,6.3123
382.946,6.3065
383.946,6.3004
384.947,6.2948
385.947,6.2884
386.947,6.2827
387.946,6.2765
388.946,6.2704
389.946,6.2654
390.946,6.2599
391.946,6.2535
392.947,6.2481
393.946,6.2416
394.946,6.237
395.947,6.2317
396.946,6.2261
397.946,6.2202
398.947,6.2152
399.951,6.2109
400.947,6.2033
401.947,6.1983
402.947,6.1919
403.947,6.1867
404.946,6.1805
405.946,6.1752
406.947,6.1702
407.947,6.1647
408.947,6.1592
409.947,6.154
410.947,6.149
411.951,6.1432
412.947,6.1355
413.947,6.1309
414.947,6.1254
415.946,6.1188
416.947,6.1139
417.946,6.1089
418.946,6.1029
419.947,6.0976
420.946,6.0923
421.946,6.0859
422.947,6.0812
423.947,6.0761
424.946,6.0693
425.946,6.0649
426.946,6.059
427.947,6.0534
428.946,6.0482
429.946,6.0432
430.947,6.0368
431.947,6.0309
432.946,6.0263
433.946,6.0209
434.947,6.0147
435.946,6.0105
436.946,6.0048
437.947,5.9999
438.946,5.994
439.947,5.9879
440.946,5.9829
441.951,5.9762
442.946,5.9718
443.946,5.9672
444.946,5.962
445.947,5.9568
446.946,5.9525
447.952,5.945
448.947,5.9408
449.947,5.9366
450.947,5.9314
451.947,5.9267
452.947,5.9216
453.951,5.9144
454.947,5.9114
455.947,5.9049
456.947,5.9004
457.947,5.8949
458.947,5.8901
459.946,5.885
460.947,5.8788
461.946,5.875
462.946,5.8698
463.946,5.8649
464.946,5.86
465.946,5.8554
466.946,5.8497
467.946,5.8456
468.947,5.8402
469.946,5.8353
470.946,5.8304
471.947,5.8242
472.947,5.8186
473.946,5.8136
474.946,5.8091
475.946,5.8045
476.947,5.7995
477.946,5.7951
478.946,5.7887
479.946,5.7828
480.947,5.7787
481.946,5.7734
482.946,5.7681
483.951,5.7624
484.947,5.7589
485.947,5.7544
486.946,5.7488
487.946,5.7426
488.946,5.7382
489.951,5.7336
490.946,5.7271
491.946,5.722
492.946,5.7174
493.946,5.7127
494.947,5.7075
495.947,5.7027
496.946,5.6971
497.947,5.6929
498.946,5.6879
499.947,5.6831
500.947,5.6776
501.947,5.6733
502.946,5.6677
503.946,5.6626
504.947,5.6583
505.947,5.6545
506.946,5.6485
507.947,5.6429
508.946,5.6383
509.946,5.6329
510.946,5.6273
511.946,5.6233
512.947,5.6181
513.947,5.6134
514.947,5.6092
515.946,5.6052
516.947,5.6004
517.946,5.5953
518.947,5.5903
519.947,5.5853
520.946,5.5808
521.946,5.5758
522.947,5.5713
523.947,5.5665
524.947,5.5616
525.947,5.5572
526.947,5.5528
527.947,5.5473
528.947,5.5427
529.947,5.5378
530.946,5.5333
531.946,5.5283
532.946,5.5233
533.946,5.518
534.946,5.5125
535.947,5.5089
536.946,5.5041
537.947,5.4991
538.947,5.4936
539.947,5.4886
540.946,5.4834
541.947,5.4786
542.946,5.4734
543.947,5.4685
544.946,5.4635
545.946,5.4586
546.946,5.4541
547.946,5.4486
548.946,5.4441
549.947,5.4384
550.946,5.4335
551.946,5.4289
552.948,5.4248
553.947,5.42
554.947,5.4148
555.946,5.4106
556.947,5.406
557.946,5.4021
558.946,5.3974
559.946,5.393
560.947,5.3887
561.947,5.3834
562.947,5.3793
563.946,5.3755
564.946,5.3708
565.947,5.3663
566.947,5.3621
567.946,5.3582
568.946,5.3532
569.946,5.3488
570.946,5.3432
571.946,5.3393
572.946,5.3344
573.951,5.3286
574.947,5.3257
575.946,5.3214
576.947,5.3168
577.946,5.3142
578.946,5.3098
579.946,5.3058
580.946,5.3018
581.947,5.2971
582.947,5.2933
583.947,5.288
584.946,5.2841
585.947,5.2808
586.946,5.2763
587.946,5.2716
588.947,5.267
589.946,5.2633
590.946,5.2581
591.946,5.2537
592.947,5.2489
593.947,5.2453
594.946,5.239
595.946,5.2351
596.947,5.2314
597.947,5.2268
598.947,5.2223
599.946,5.2165
600.946,5.2131
601.947,5.209
602.947,5.2056
603.946,5.2014
604.947,5.1976
605.946,5.1924
606.946,5.189
607.946,5.1842
608.946,5.1806
609.947,5.1773
610.946,5.1725
611.946,5.168
612.947,5.1628
613.947,5.1595
614.946,5.1551
615.947,5.1508
616.946,5.1465
617.946,5.143
618.947,5.1391
619.946,5.1348
620.946,5.1291
621.946,5.1247
622.947,5.1212
623.946,5.1159
624.946,5.1128
625.947,5.1089
626.947,5.1036
627.951,5.0997
628.946,5.0962
629.946,5.0923
630.947,5.0885
631.946,5.0837
632.947,5.079
633.946,5.0752
634.946,5.0706
635.947,5.068
636.946,5.0632
637.947,5.0582
638.946,5.0529
639.951,5.0487
640.947,5.045
641.946,5.0412
642.946,5.0365
643.947,5.0323
644.946,5.0279
645.946,5.0238
646.946,5.0179
647.947,5.0148
648.947,5.0096
649.947,5.0053
650.946,4.9999
