t (s),V (mV)
0,3.4915
1.001,3.4804
2,3.4689
3,3.456
4,3.4431
5.001,3.4307
6,3.4176
7.001,3.4037
8.001,3.3896
9,3.3747
10,3.3602
11,3.3462
12,3.3324
13.001,3.3171
14,3.3039
15.001,3.2899
16,3.275
17,3.2607
18.001,3.2464
19,3.2314
20.001,3.2177
21.001,3.2046
22,3.1894
23.001,3.176
24.001,3.1611
25.001,3.1465
26.001,3.1326
27,3.1182
28,3.1045
29,3.0901
30.001,3.0766
31,3.0624
32,3.0477
33,3.0344
34,3.0207
35,3.0073
36,2.9933
37.001,2.9801
38.001,2.9659
39,2.9518
40.001,2.9384
41.001,2.9249
42.001,2.9113
43.001,2.8977
44.001,2.8842
45.001,2.8715
46.001,2.8581
47.001,2.8459
48.001,2.832
49,2.8202
50,2.8075
51,2.7954
52.001,2.7827
53.001,2.7689
54.001,2.7565
55,2.7457
56,2.7324
57,2.72
58,2.7075
59,2.6956
60,2.6825
61,2.6695
62,2.6569
63.001,2.6453
64.001,2.6333
65,2.6211
66,2.6088
67.001,2.5967
68,2.584
69.001,2.5717
70,2.56
71,2.5465
72.001,2.5348
73,2.523
74,2.5107
75.001,2.4993
76.001,2.4875
77.001,2.4758
78.001,2.4635
79,2.4512
80,2.4391
81,2.4284
82,2.4159
83,2.405
84,2.3922
85,2.381
86.001,2.3693
87.001,2.3575
88.001,2.3459
89,2.3336
90,2.3221
91.001,2.311
92.001,2.3003
93.001,2.2894
94.001,2.2774
95,2.2664
96,2.2547
97,2.244
98,2.2321
99,2.2213
100,2.2103
101,2.1998
102,2.1881
103,2.1773
104,2.1663
105.001,2.1552
106.001,2.1452
107.001,2.1344
108.001,2.1236
109,2.1116
110,2.1005
111,2.09
112,2.0789
113,2.0679
114,2.0571
115.001,2.045
116,2.0346
117,2.0243
118,2.0131
119,2.0028
120.001,1.991
121,1.9808
122,1.97
123.001,1.9589
124.001,1.9482
125.001,1.9364
126,1.9264
127,1.9159
128.001,1.9049
129,1.8954
130,1.8836
131.001,1.8736
132,1.8629
133,1.853
134,1.8416
135,1.8304
136,1.8209
137.001,1.8108
138.001,1.8003
139,1.7898
140,1.7794
141,1.7688
142,1.7587
143.001,1.7478
144,1.7378
145,1.7282
146,1.7175
147,1.7072
