t (s),V (mV)
0,7.4805
1,7.4615
2.001,7.449
3.001,7.4258
4.001,7.3997
5.001,7.3784
6.001,7.3586
7,7.3523
8.001,7.3239
9.005,7.3151
10,7.2974
11,7.2928
12.001,7.2543
13,7.2415
14.001,7.2158
15.001,7.2035
16,7.1768
17,7.1497
18.001,7.1347
19,7.1064
20.001,7.0995
21.001,7.0718
22,7.0548
23,7.0354
24.001,7.0112
25.001,6.9912
26.001,6.9766
27.005,6.9459
28.001,6.9339
29,6.9155
30,6.8938
31,6.8755
32.001,6.8513
33.001,6.8237
34,6.815
35,6.8044
36.001,6.7869
37,6.7613
38.001,6.7477
39.001,6.7243
40.001,6.6986
41,6.6878
42,6.6733
43,6.662
44,6.6293
45,6.6053
46,6.5902
47,6.5856
48,6.5604
49,6.5467
50,6.5322
51.005,6.5117
52.001,6.4893
53,6.4703
54,6.4504
55,6.433
56,6.4145
57.005,6.3837
58,6.3752
59,6.3517
60.001,6.3369
61,6.3315
62.001,6.3131
63.001,6.2954
64.001,6.2829
65,6.2608
66,6.2429
67.001,6.2369
68.001,6.2205
69,6.2024
70.001,6.1857
71,6.1788
72,6.1662
73.001,6.1511
74,6.1285
75,6.1064
76.001,6.0916
77.001,6.0717
78.001,6.0539
79.001,6.0402
80,6.0158
81.001,5.9827
82,5.9775
83.001,5.9638
84.002,5.9489
85,5.9231
86,5.91
87.005,5.8915
88,5.8761
89,5.8702
90,5.8509
91,5.8344
92,5.8262
93.006,5.81
94.001,5.7914
95,5.7758
96.001,5.7566
97,5.733
98,5.7201
99.001,5.7035
100.001,5.6862
101.001,5.6764
102.001,5.6645
103.001,5.6475
104.001,5.6322
105,5.6255
106,5.6113
107,5.5926
108,5.5766
109,5.5688
110,5.5526
111.001,5.5386
112,5.5261
113,5.5211
114.001,5.4904
115.001,5.4797
116.001,5.4606
117,5.4488
118,5.4459
119,5.4481
120,5.432
121,5.4138
122,5.3908
123.001,5.3721
124.001,5.3723
125.001,5.3629
126,5.3402
127,5.3265
128,5.3126
129.001,5.2986
130,5.2905
131,5.2717
132,5.2553
133,5.2443
134,5.2225
135.001,5.2197
136,5.1877
137,5.18
138.001,5.166
139.001,5.1513
140.001,5.1383
141.005,5.1231
142,5.1009
143,5.0831
144,5.0892
145,5.0733
146,5.0592
147,5.0504
148,5.0419
149,5.0369
150.001,5.0136
151,4.9981
152,4.9803
153.005,4.9673
154,4.9602
155,4.9523
156.001,4.9477
157.001,4.9364
158,4.9188
159.005,4.8907
160,4.8823
161,4.8735
162,4.8625
163.001,4.8617
164.001,4.8384
165.005,4.821
166,4.8191
167,4.8062
168.001,4.7925
169.001,4.7934
170,4.7821
171.001,4.7674
172,4.7493
173,4.7276
174.001,4.7251
175.001,4.7192
176,4.7077
177.001,4.6815
178,4.6716
179.001,4.6612
180,4.6554
181.001,4.639
182,4.635
183.005,4.6185
184,4.6033
185.001,4.5944
186.001,4.5881
187,4.5752
188,4.5702
189.001,4.5585
190,4.5461
191,4.5299
192,4.5369
193.001,4.5251
194.001,4.4963
195,4.4762
196,4.4769
197,4.4606
198,4.4481
199,4.4347
200.001,4.4324
201,4.4111
202,4.417
203,4.3985
204,4.396
205,4.3901
206,4.3806
207.006,4.3658
208,4.3578
209,4.3448
210,4.3293
211.001,4.3177
212.001,4.306
213.006,4.2867
214.001,4.2854
215.001,4.2804
216,4.2701
217,4.255
218.001,4.245
219.001,4.2354
220.001,4.2259
221,4.218
222,4.2012
223,4.1964
224,4.1851
225,4.1761
226.001,4.161
227.001,4.1492
228,4.1443
229,4.1285
230,4.1253
231.005,4.1171
232,4.1027
233,4.0885
