t (s),V (mV)
307.184,8.6993
308.183,8.6934
309.184,8.6883
310.183,8.6814
311.183,8.6773
312.183,8.6717
313.184,8.6655
314.183,8.6593
315.184,8.6527
316.183,8.6486
317.184,8.637
318.183,8.6334
319.184,8.6292
320.184,8.6249
321.184,8.6187
322.184,8.6137
323.184,8.6074
324.184,8.6008
325.184,8.5954
326.184,8.59
327.183,8.5833
328.183,8.5773
329.184,8.5717
330.183,8.5665
331.184,8.5604
332.184,8.5542
333.183,8.5492
334.183,8.5427
335.184,8.5367
336.183,8.5302
337.184,8.5247
338.184,8.518
339.183,8.5128
340.183,8.5078
341.184,8.5015
342.184,8.4949
343.184,8.489
344.184,8.4839
345.183,8.4787
346.183,8.4726
347.184,8.4662
348.183,8.462
349.184,8.4554
350.183,8.4496
351.184,8.4446
352.184,8.4377
353.183,8.4325
354.184,8.4268
355.183,8.4211
356.184,8.4149
357.184,8.4106
358.183,8.4054
359.184,8.3997
360.184,8.3937
361.183,8.3883
362.184,8.3819
363.184,8.377
364.183,8.3711
365.184,8.3647
366.183,8.3597
367.184,8.3543
368.184,8.3492
369.183,8.3436
370.184,8.3379
371.184,8.3325
372.184,8.3271
373.184,8.3216
374.184,8.3158
375.184,8.3109
376.184,8.3054
377.184,8.2998
378.184,8.2944
379.184,8.2892
380.184,8.283
381.184,8.2777
382.183,8.2719
383.183,8.2657
384.183,8.2601
385.183,8.2542
386.184,8.2487
387.184,8.2424
388.184,8.2372
389.183,8.2314
390.183,8.2254
391.183,8.2195
392.183,8.2147
393.184,8.21
394.184,8.2044
395.184,8.1987
396.184,8.1932
397.184,8.188
398.184,8.1815
399.184,8.1767
400.183,8.1714
401.183,8.1664
402.184,8.1619
403.184,8.1561
404.184,8.1511
405.183,8.1449
406.183,8.1404
407.184,8.1353
408.183,8.1296
409.183,8.1246
410.184,8.12
411.183,8.114
412.184,8.1087
413.183,8.1037
414.184,8.0991
415.183,8.0934
416.183,8.0878
417.184,8.0839
418.183,8.0779
419.184,8.0731
420.184,8.0687
421.184,8.0632
422.184,8.0574
423.183,8.0527
424.184,8.0479
425.184,8.0427
426.184,8.0377
427.183,8.0318
428.183,8.0266
429.183,8.0213
430.184,8.0158
431.184,8.0114
432.183,8.0049
433.183,8.0007
434.183,7.9952
435.184,7.9891
436.184,7.984
437.183,7.9786
438.183,7.9728
439.184,7.9681
440.183,7.9616
441.183,7.9567
442.184,7.9512
443.184,7.9459
444.184,7.9395
445.184,7.934
446.183,7.9288
447.184,7.9236
448.184,7.9185
449.183,7.9132
450.183,7.9081
451.184,7.9032
452.183,7.8976
453.184,7.8931
454.184,7.8849
455.184,7.8808
456.184,7.8767
457.184,7.8713
458.184,7.8667
459.183,7.8618
460.184,7.8566
461.183,7.8517
462.184,7.8443
463.184,7.8413
464.184,7.8359
465.183,7.8307
466.184,7.8246
467.184,7.8197
468.184,7.8135
469.184,7.8083
470.184,7.8021
471.184,7.7975
472.184,7.792
473.184,7.7881
474.184,7.7836
475.184,7.7784
476.184,7.7692
477.184,7.7631
478.184,7.7608
479.183,7.7564
480.183,7.7531
481.183,7.747
482.184,7.7417
483.183,7.7363
484.183,7.7306
485.184,7.7257
486.184,7.7202
487.184,7.7166
488.183,7.7105
489.183,7.7066
490.184,7.7022
491.183,7.6976
492.183,7.6908
493.184,7.6849
494.184,7.6809
495.183,7.6765
496.184,7.6731
497.184,7.6654
498.183,7.6607
499.184,7.6548
500.184,7.6516
501.184,7.6472
502.183,7.6417
503.184,7.6359
504.184,7.6309
505.184,7.6264
506.184,7.6221
507.183,7.6112
508.184,7.6099
509.184,7.6055
510.184,7.6015
511.183,7.5954
512.184,7.5908
513.183,7.5856
514.184,7.5799
515.183,7.5742
516.184,7.5706
517.184,7.5658
518.184,7.5606
519.184,7.5562
520.183,7.551
521.184,7.5465
522.184,7.5413
523.184,7.5365
524.184,7.5327
525.184,7.5274
526.183,7.5224
527.183,7.5174
528.183,7.5128
529.183,7.5084
530.183,7.503
531.183,7.4985
532.184,7.4941
533.184,7.4886
534.184,7.4836
535.183,7.4782
536.184,7.4722
537.184,7.4673
538.183,7.462
539.184,7.4561
540.184,7.4513
541.183,7.4464
542.184,7.4406
543.183,7.4353
544.184,7.4298
545.183,7.4247
546.184,7.4204
547.184,7.4144
548.184,7.41
549.183,7.405
550.184,7.3998
551.183,7.3938
552.184,7.3887
553.184,7.3839
554.184,7.3794
555.183,7.3739
556.184,7.3683
557.183,7.3634
558.183,7.3586
559.183,7.3531
560.184,7.3469
561.184,7.343
562.183,7.3374
563.184,7.3325
564.183,7.327
565.184,7.3218
566.183,7.3173
567.184,7.3122
568.183,7.3073
569.184,7.3022
570.183,7.2965
571.184,7.2918
572.183,7.2874
573.183,7.282
574.184,7.2774
575.184,7.2718
576.184,7.2667
577.183,7.2604
578.183,7.2555
579.183,7.2503
580.183,7.2449
581.183,7.2401
582.183,7.234
583.183,7.2306
584.184,7.2254
585.183,7.2205
586.184,7.2158
587.184,7.2104
588.183,7.2054
589.184,7.2003
590.184,7.1944
591.183,7.1903
592.184,7.1863
593.183,7.1799
594.184,7.1758
595.184,7.171
596.183,7.1666
597.184,7.162
598.183,7.1568
599.184,7.1512
600.183,7.1471
601.184,7.1402
602.183,7.1315
603.184,7.1313
604.184,7.1271
605.184,7.121
606.183,7.1186
607.184,7.1136
608.184,7.1092
609.184,7.1058
610.183,7.1008
611.183,7.0959
612.184,7.0904
613.183,7.0863
614.184,7.0812
615.183,7.0762
616.184,7.0716
617.184,7.0665
618.184,7.0617
619.183,7.0567
620.183,7.0525
621.184,7.047
622.184,7.0423
623.184,7.0379
624.184,7.0337
625.184,7.0284
626.184,7.0242
627.184,7.019
628.184,7.014
629.184,7.01
630.184,7.0055
631.184,7.0012
632.183,6.9968
633.183,6.9917
634.184,6.9873
635.184,6.9821
636.183,6.9791
637.184,6.9739
638.184,6.9696
639.183,6.9648
640.184,6.9595
641.183,6.9557
642.183,6.9515
643.184,6.9464
644.183,6.9416
645.184,6.9379
646.183,6.9341
647.184,6.9297
648.183,6.9256
649.184,6.9206
650.183,6.9172
651.184,6.9129
652.183,6.9073
653.183,6.9036
654.184,6.8989
655.184,6.8945
656.183,6.8907
657.184,6.8858
658.183,6.8817
659.184,6.877
660.183,6.8736
661.184,6.8692
662.184,6.8652
663.184,6.861
664.184,6.8574
665.183,6.8523
666.184,6.8479
667.183,6.8426
668.184,6.8379
669.183,6.834
670.183,6.8289
671.184,6.8248
672.184,6.8202
673.183,6.8168
674.184,6.8118
675.184,6.808
676.183,6.8038
677.184,6.8005
678.184,6.7954
679.184,6.792
680.184,6.7874
681.183,6.7834
682.183,6.7792
683.184,6.7754
684.183,6.7714
685.184,6.7677
686.184,6.7632
687.183,6.7584
688.184,6.7545
689.183,6.75
690.184,6.7457
691.183,6.7407
692.184,6.7356
693.184,6.7322
694.183,6.7274
695.184,6.7229
696.183,6.7183
697.184,6.7139
698.184,6.7102
699.183,6.7053
700.184,6.7004
701.183,6.6964
702.184,6.6927
703.183,6.687
704.184,6.6833
705.183,6.6786
706.184,6.6754
707.183,6.6707
708.184,6.6656
709.183,6.6621
710.184,6.657
711.183,6.6529
712.184,6.6483
713.184,6.6437
714.183,6.6391
715.184,6.6347
716.183,6.63
717.184,6.6256
718.183,6.6218
719.184,6.6172
720.183,6.613
721.183,6.609
722.183,6.6049
723.184,6.6009
724.183,6.5957
725.184,6.5908
726.183,6.5883
727.183,6.5581
728.183,6.5358
729.184,6.5727
730.184,6.5693
731.184,6.5624
732.183,6.5625
733.183,6.5579
734.183,6.5526
735.183,6.5477
736.184,6.5393
737.183,6.5372
738.183,6.5329
739.183,6.5298
740.184,6.5229
741.183,6.5181
742.183,6.5124
743.184,6.5013
744.183,6.4995
745.183,6.5043
746.184,6.5009
747.183,6.4967
748.183,6.4919
749.184,6.4877
750.183,6.4845
751.183,6.4809
752.183,6.4763
753.184,6.4729
754.184,6.4678
755.183,6.4634
756.183,6.4596
757.184,6.4559
758.184,6.4516
759.184,6.4472
760.183,6.4427
761.183,6.4382
762.184,6.4343
763.184,6.4303
764.183,6.4267
765.183,6.4225
766.183,6.4192
767.184,6.4149
768.184,6.4103
769.184,6.4069
770.183,6.4025
771.183,6.3991
772.183,6.3946
773.184,6.3898
774.183,6.3864
775.183,6.3819
776.183,6.3772
777.183,6.3726
778.183,6.3668
779.184,6.3621
780.183,6.3591
781.183,6.3544
782.184,6.3508
783.183,6.348
784.184,6.3431
785.184,6.319
786.184,6.3103
787.184,6.3138
788.184,6.3074
789.184,6.302
790.184,6.3189
791.184,6.317
792.184,6.3121
793.184,6.3068
794.184,6.3037
795.183,6.2999
796.183,6.2959
797.183,6.2924
798.183,6.2879
799.183,6.2857
800.183,6.2808
801.184,6.2764
802.183,6.2729
803.183,6.269
804.183,6.2652
805.184,6.2615
806.183,6.2576
807.183,6.2532
808.183,6.2492
809.183,6.2449
810.183,6.2407
811.184,6.2377
812.183,6.2339
813.184,6.2293
814.184,6.2253
815.183,6.2215
816.183,6.2175
817.184,6.213
818.183,6.21
819.183,6.2052
820.184,6.2013
821.183,6.1974
822.183,6.1936
823.184,6.1896
824.183,6.1858
825.183,6.1821
826.183,6.1774
827.184,6.173
828.183,6.1693
829.183,6.1657
830.183,6.1619
831.184,6.1569
832.184,6.1543
833.183,6.1492
834.183,6.1452
835.183,6.1413
836.184,6.1377
837.183,6.1339
838.183,6.1302
839.183,6.1257
840.183,6.1224
841.183,6.1179
842.184,6.114
843.183,6.111
844.183,6.1069
845.183,6.1032
846.183,6.0995
847.183,6.0954
848.183,6.0922
849.184,6.0886
850.184,6.0842
851.183,6.0814
852.183,6.0769
853.183,6.0724
854.184,6.069
855.183,6.0653
856.184,6.0615
857.183,6.0578
858.183,6.0539
859.184,6.05
860.183,6.0452
861.183,6.0423
862.184,6.0387
863.183,6.0341
864.184,6.0301
865.183,6.0258
866.183,6.0222
867.184,6.0185
868.184,6.0144
869.183,6.0103
870.183,6.0065
871.184,6.0023
872.183,5.9982
873.183,5.9944
874.184,5.9914
875.183,5.9871
876.183,5.9821
877.184,5.9785
878.184,5.9741
879.184,5.9703
880.183,5.9655
881.183,5.9622
882.183,5.9589
883.183,5.9538
884.183,5.9504
885.183,5.9473
886.183,5.9433
887.183,5.9395
888.184,5.9358
889.184,5.9324
890.183,5.9279
891.183,5.9241
892.183,5.9208
893.184,5.9175
894.184,5.9139
895.184,5.9099
896.183,5.9058
897.183,5.9028
898.183,5.8996
899.183,5.8957
900.183,5.8919
901.184,5.8889
902.184,5.8852
903.183,5.8819
904.184,5.8762
905.183,5.8739
906.184,5.8702
907.183,5.8661
908.183,5.8632
909.184,5.8589
910.183,5.8553
911.183,5.8517
912.183,5.848
913.184,5.8447
914.183,5.8416
915.183,5.8384
916.184,5.8348
917.184,5.8305
918.183,5.8265
919.183,5.8217
920.184,5.8194
921.183,5.8149
922.184,5.8113
923.183,5.808
924.183,5.8045
925.184,5.8015
926.183,5.7977
927.183,5.7946
928.184,5.7908
929.184,5.787
930.183,5.7835
931.183,5.7802
932.183,5.7775
933.183,5.7729
934.183,5.7697
935.183,5.7657
936.183,5.762
937.183,5.7582
938.184,5.7556
939.184,5.7513
940.183,5.7473
941.183,5.7444
942.183,5.7411
943.184,5.7379
944.184,5.7343
945.184,5.7317
946.183,5.7274
947.183,5.7245
948.183,5.721
949.183,5.7162
950.183,5.713
951.184,5.7103
952.184,5.7073
953.183,5.7021
954.183,5.6989
955.183,5.6951
956.183,5.693
957.183,5.6882
958.184,5.685
959.183,5.6808
960.183,5.6776
961.183,5.6736
962.184,5.6699
963.183,5.6667
964.183,5.6632
965.184,5.6597
966.183,5.656
967.183,5.6531
968.184,5.6498
969.183,5.6383
970.183,5.6326
971.184,5.6327
972.183,5.6303
973.183,5.6182
974.183,5.6157
