t (s),V (mV)
0,10.9026
1.05,10.8983
2.099,10.8894
3.15,10.8858
4.183,10.8772
5.184,10.8706
6.184,10.8639
7.184,10.8552
8.184,10.8482
9.184,10.8397
10.183,10.8305
11.183,10.8241
12.184,10.817
13.183,10.8091
14.184,10.7997
15.183,10.7917
16.184,10.7846
17.184,10.7748
18.184,10.7673
19.184,10.7587
20.184,10.7494
21.183,10.7398
22.183,10.73
23.183,10.7206
24.183,10.7121
25.183,10.7026
26.184,10.6943
27.183,10.6842
28.183,10.675
29.184,10.6658
30.184,10.6574
31.183,10.6475
32.184,10.6391
33.184,10.6293
34.183,10.6215
35.183,10.6125
36.183,10.6042
37.183,10.5944
38.182,10.5855
39.182,10.5758
40.182,10.5667
41.183,10.5583
42.183,10.5506
43.183,10.5411
44.182,10.5314
45.183,10.5234
46.182,10.5138
47.183,10.5048
48.182,10.4961
49.183,10.4876
50.183,10.4788
51.182,10.47
52.182,10.4612
53.183,10.4517
54.183,10.4438
55.182,10.4351
56.182,10.4276
57.183,10.4185
58.183,10.4103
59.182,10.4007
60.182,10.3931
61.182,10.3834
62.183,10.375
63.183,10.3669
64.182,10.3583
65.183,10.3497
66.183,10.3414
67.182,10.3328
68.183,10.3249
69.183,10.3167
70.183,10.3081
71.182,10.3002
72.182,10.2928
73.182,10.285
74.182,10.277
75.182,10.2692
76.182,10.2591
77.183,10.2519
78.183,10.2449
79.182,10.2363
80.183,10.2283
81.182,10.2208
82.182,10.2129
83.183,10.2052
84.183,10.1975
85.182,10.19
86.182,10.1814
87.182,10.1741
88.182,10.1663
89.183,10.1579
90.183,10.1515
91.183,10.1427
92.183,10.1355
93.183,10.1282
94.183,10.1198
95.183,10.1117
96.183,10.104
97.182,10.097
98.182,10.0893
99.182,10.082
100.183,10.0724
101.182,10.0657
102.182,10.0576
103.182,10.0492
104.183,10.0427
105.183,10.0349
106.182,10.0284
107.183,10.0212
108.183,10.0137
109.183,10.0062
110.183,9.9999
111.184,9.9927
112.183,9.9861
113.184,9.9786
114.183,9.9712
115.184,9.9641
116.184,9.9563
117.184,9.9502
118.184,9.9433
119.183,9.9351
120.183,9.9277
121.184,9.9208
122.184,9.9128
123.183,9.9044
124.184,9.8978
125.184,9.8915
126.183,9.8839
127.183,9.8768
128.183,9.8695
129.184,9.8631
130.184,9.8548
131.184,9.848
132.184,9.8419
133.183,9.8344
134.183,9.8235
135.184,9.8172
136.184,9.8115
137.183,9.8044
138.183,9.7988
139.183,9.7925
140.183,9.7851
141.183,9.7784
142.184,9.7724
143.183,9.7661
144.184,9.7585
145.184,9.7518
146.183,9.7466
147.184,9.7387
148.183,9.7327
149.184,9.7257
150.184,9.7184
151.184,9.7131
152.183,9.7068
153.184,9.7014
154.183,9.6946
155.184,9.6879
156.183,9.6778
157.184,9.6724
158.184,9.6674
159.184,9.6609
160.183,9.6548
161.184,9.6481
162.184,9.6414
163.183,9.6348
164.184,9.6286
165.184,9.6222
166.184,9.6156
167.184,9.608
168.184,9.6013
169.184,9.5954
170.184,9.5884
171.184,9.5815
172.184,9.5734
173.184,9.5667
174.184,9.5613
175.184,9.5552
176.183,9.549
177.184,9.5429
178.184,9.5375
179.183,9.5317
180.183,9.5252
181.184,9.5196
182.183,9.5133
183.184,9.4996
184.183,9.4948
185.184,9.4933
186.184,9.4867
187.183,9.4814
188.184,9.4763
189.184,9.4697
190.183,9.4632
191.184,9.4559
192.184,9.4493
193.184,9.4429
194.184,9.4366
195.184,9.4307
196.184,9.4233
197.183,9.4175
198.184,9.41
199.184,9.4036
200.185,9.3967
201.184,9.3897
202.183,9.3847
203.183,9.3783
204.183,9.3712
205.184,9.3646
206.183,9.3584
207.184,9.3518
208.184,9.3445
209.183,9.3382
210.184,9.3316
211.184,9.3252
212.183,9.319
213.183,9.3115
214.184,9.3047
215.183,9.2979
216.183,9.2918
217.184,9.2843
218.183,9.2785
219.183,9.2706
220.183,9.2639
221.184,9.2568
222.184,9.2491
223.183,9.2436
224.183,9.2363
225.183,9.2296
226.184,9.2219
227.183,9.2158
228.184,9.209
229.184,9.2017
230.184,9.1956
231.184,9.1894
232.183,9.182
233.184,9.1754
234.183,9.169
235.183,9.162
236.184,9.1565
237.184,9.1497
238.183,9.1354
239.183,9.1295
240.184,9.1304
241.184,9.1244
242.184,9.1139
243.183,9.1091
244.184,9.1043
245.184,9.0942
246.184,9.0866
247.183,9.0835
248.183,9.076
249.184,9.0704
250.184,9.0625
251.184,9.0572
252.184,9.0505
253.183,9.0429
254.184,9.0367
255.183,9.0296
256.184,9.0231
257.183,9.0166
258.183,9.01
259.184,9.0041
260.184,8.9971
261.183,8.9901
262.184,8.9826
263.184,8.9782
264.184,8.9722
265.183,8.9659
266.183,8.9595
267.184,8.9506
268.184,8.9442
269.184,8.9401
270.184,8.9325
271.184,8.927
272.183,8.9206
273.184,8.9151
274.184,8.9077
275.184,8.9014
276.184,8.8939
277.184,8.8859
278.184,8.8818
279.184,8.8753
280.183,8.8695
281.183,8.862
282.184,8.8539
283.184,8.8487
284.184,8.8424
285.184,8.8359
286.183,8.8304
287.184,8.8243
288.184,8.8175
289.184,8.8118
290.184,8.8016
291.183,8.7986
292.184,8.7931
293.184,8.7867
294.184,8.7803
295.183,8.7727
296.184,8.7681
297.184,8.7617
298.184,8.7555
299.183,8.7464
300.184,8.7429
301.183,8.7378
302.183,8.7321
303.184,8.7265
304.184,8.719
305.184,8.7145
306.183,8.7035
