Time,Object Name,Status,Value,Units,Alert ID,Priority
15.02.2024 9:30:01,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:01,TIC Turbo Power,,7.3,,0,0
15.02.2024 9:30:01,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:01,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:01,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:03,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:03,TIC Turbo Power,,8.4,,0,0
15.02.2024 9:30:03,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:03,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:03,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:05,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:05,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:05,TIC Turbo Power,,6.1,,0,0
15.02.2024 9:30:05,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:05,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:07,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:07,TIC Turbo Power,,6.1,,0,0
15.02.2024 9:30:07,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:07,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:08,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:09,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:09,TIC Turbo Power,,8.0,,0,0
15.02.2024 9:30:09,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:10,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:10,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:11,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:11,TIC Turbo Power,,6.8,,0,0
15.02.2024 9:30:12,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:12,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:12,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:13,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:13,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:13,TIC Turbo Power,,6.5,,0,0
15.02.2024 9:30:14,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:14,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:15,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:16,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:16,TIC Turbo Power,,8.2,,0,0
15.02.2024 9:30:16,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:16,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:18,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:18,TIC Turbo Power,,6.1,,0,0
15.02.2024 9:30:18,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:18,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:18,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:20,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:20,TIC Turbo Power,,6.1,,0,0
15.02.2024 9:30:20,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:20,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:20,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:22,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:22,TIC Turbo Power,,8.0,,0,0
15.02.2024 9:30:22,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:22,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:22,TIC Gauge 3,5,9.9000e+09,59,0,0
